Ataque,Custo,Custo AP,Tipo,Estilo,Descrição,Aprimoramento,Motor,Ofensivo,Defensivo,Suporte,Utilitario,Code
Investida,30,35,normal,alvo,Causa (90% de Atk) como dano normal. O usuário recebe (20% do dano causado).,Causa (95% de Atk) como dano normal. O usuário ainda recebe (15% do dano causado).,Atk,55,5,0,10,1
Biscoito,30,35,normal,alvo,"Cura o alvo em (50% de Mag), aplica 1 stack no alvo e no usuário, e cada stack no alvo aumenta a cura em (+10% de Mag). Se for crítico, cada stack aumenta a cura em (+15% de Mag).","A cura base sobe para (55% de Mag), e cada stack no alvo aumenta a cura em (+12% de Mag). Se for crítico, cada stack aumenta a cura em (+16% de Mag).",Mag,0,45,80,35,2
Enraivecer,20,25,normal,ativa,"Se a Vida estiver abaixo de 40%, o usuário ganha Amplificado.",Ativa se a Vida estiver abaixo de 50%.,Vida,50,10,5,30,3
Provocar,25,20,normal,ativa,O usuário ganha Provocando.,Não tem efeito adicional; o aprimoramento apenas reduz o custo.,Nenhum,0,55,55,65,4
Proteger,40,35,normal,alvo,O alvo fica Protegido.,Não tem efeito adicional; o aprimoramento apenas reduz o custo.,Nenhum,0,85,65,35,5
Arranhar,35,40,normal,alvo,Causa (100% de Atk) como dano normal.,Causa (110% de Atk) como dano normal.,Atk,62,0,0,5,6
Recarga,15,20,normal,ativa,Recupera (150% da Ene gasta neste ataque).,O ganho pode exceder até 20% da energia maxima,Ene,0,15,45,75,7
Energia,30,35,normal,alvo,Causa (85% de SpA) como dano especial.,Causa (95% de SpA) como dano especial.,SpA,52,0,0,5,8
Hiper Raio,90,100,normal,alvo,"Causa (120% de SpA) como dano especial em linha. Para cada alvo atingido, reduz (20% de SpA) do dano deste ataque.","Causa (125% de SpA) como dano especial em linha. Para cada alvo atingido, reduz (15% de SpA) do dano deste ataque.",SpA,88,0,0,55,9
Guilhotina,75,85,normal,alvo,"Causa (60% de Atk) como dano normal. Se for crítico, executa inimigos com menos de 30% da Vida.","Causa (65% de Atk) como dano normal. Se for crítico, executa inimigos com menos de 35% da Vida.",Atk/CrC,76,0,0,45,10
Disparo,25,30,normal,alvo,"Causa (75% de Atk) como dano normal, esse ataque nunca erra.",Causa (80% de Atk) como dano normal.,Atk,45,0,0,15,11
Chifrada,45,50,normal,alvo,Causa (70% de Atk) + (30% de Per) como dano normal.,Causa (70% de Atk) + (45% de Per) como dano normal.,Atk/Per,58,0,0,15,12
Golpe Precavido,60,70,normal,alvo,"Escolhe até 3 áreas. Causa (80% de Atk) como dano normal no primeiro Pokémon atingido; a cada Pokémon acertado, o dano do próximo alvo cai pela metade.","Escolhe até 4 áreas, mantendo a redução de 50% do dano a cada Pokémon acertado.",Atk,80,0,0,78,13
Pancada Seca,45,55,normal,alvo,Causa (65% de Atk) como dano normal e remove Energia atual do alvo equivalente a (25% de Ene do usuário).,Causa (65% de Atk) como dano normal e remove Energia atual do alvo equivalente a (30% de Ene do usuário).,Atk/Ene,58,0,0,78,14
Esmagar,50,60,normal,alvo,"Causa (40% de Peso) como dano normal, mas a cada 40kg que o alvo tiver esse ataque causa menos 15% de dano.","Causa (45% de Peso) como dano normal, mas a cada 50kg que o alvo tiver esse ataque causa menos 10% de dano.",Peso,66,0,0,20,15
Transformar,70,80,normal,alvo,"O usuário se transforma no alvo, copiando tipo(s), atributos e ataques do alvo; mantém lado, posição, Vida atual proporcional e Energia atual.",Não tem efeito adicional; o aprimoramento apenas reduz o custo.,Nenhum,55,55,20,90,16
Ataque Rápido,45,55,normal,alvo,Sempre age antes das ações comuns. Causa (50% de Atk) + (30% de Vel) como dano normal.,Sempre age antes das ações comuns. Causa (55% de Atk) + (35% de Vel) como dano normal.,Atk/Vel,72,0,0,82,17
Mimica,30,30,normal,alvo,Usa o ultimo ataque que o alvo usou contra ele ,Não tem efeito adicional; o aprimoramento apenas reduz o custo.,,,,,,18
Normalizar,0,0,normal,passivo,"Todo ataque usado pelo usuário é tratado como tipo normal antes do cálculo de tipo, STAB e fraqueza/resistência.",Ataques que não são do tipo normal que atingem esse pokemon tem seu dano reduzido em 20%,Nenhum,46,0,0,70,19
Resetar,60,70,normal,alvo,Remove todas as variações permanentes de atributos do alvo.,Não tem efeito adicional; o aprimoramento apenas reduz o custo.,Nenhum,25,25,35,80,20
Tankar,55,65,normal,ativa,"O usuário ganha Fortificado e recebe (20% de Mag) na sua menor defesa. Se for crítico, também ganha uma barreira equivalente a (30% de Mag).","O ganho na menor defesa sobe para (25% de Mag). Se for crítico, a barreira também sobe para (35% de Mag).",Mag,5,82,20,25,21
Estocada,40,45,normal,alvo,"Causa (80% de Atk) como dano normal. Se for o primeiro ataque do turno, causa +25% de dano.","Causa (80% de Atk) como dano normal. Se for o primeiro ataque do turno, causa +30% de dano.",Atk,66,0,0,20,22
Bola Climática,60,70,normal,alvo,"Causa (75% de SpA) como dano especial. Se houver clima ativo, causa (100% de SpA) como dano especial. Também causa (50% do dano causado) a inimigos em áreas adjacentes.","Causa (75% de SpA) como dano especial. Se houver clima ativo, causa (115% de SpA). O dano aos inimigos adjacentes permanece em 50% do dano causado.",SpA,82,0,0,65,23
Hiper Presa,45,50,normal,alvo,"Causa (105% de Atk) como dano normal. Se for crítico, o alvo recua. Este ataque não pode ultrapassar 80% de CrC.","Causa (110% de Atk) como dano normal. Se for crítico, o alvo recua. O limite de CrC sobe para 85%.",Atk/CrC,72,5,0,45,24
Inflar,35,40,normal,ativa,O usuário ganha (25% de Mag) + (10% da Vida Máxima) em Vida Máxima.,O usuário ganha (25% de Mag) + (15% da Vida Máxima) em Vida Máxima.,Mag/Vida,0,72,20,25,25
Bola de Agua,60,70,agua,alvo,Causa (80% de SpA) como dano especial. Também causa (50% do dano causado) a inimigos adjacentes ao alvo.,Causa (90% de SpA) como dano especial. O dano aos inimigos adjacentes permanece em 50% do dano causado.,SpA,76,0,0,60,26
Gota Pesada,40,35,agua,alvo,Aplica Encharcado no inimigo.,Não tem efeito adicional; o aprimoramento apenas reduz o custo.,Nenhum,20,35,15,70,27
Splash,20,25,agua,alvo,"Tem 50% de chance de não fazer nada. Se funcionar, causa (70% de SpA) como dano especial.","Se funcionar, causa (80% de SpA) como dano especial.",SpA,32,0,0,20,28
Bolhas,30,35,agua,alvo,"Causa (35% de SpA) como dano especial. Para cada vez que Bolhas já foi usado pelo usuário nesta batalha, causa +8% de SpA","Causa (40% de SpA) como dano especial. Cada uso anterior aumenta em +12% de SpA, até 6 acúmulos.",SpA,58,0,0,38,29
Esguicho Suave,35,40,agua,alvo,"Se o alvo for inimigo, causa (45% de SpA) + (20% de Mag) como dano especial. Se for aliado, cura (45% de Mag) + (15% de SpA) e remove Queimado.",O dano sobe para (50% de SpA) + (22% de Mag). A cura sobe para (50% de Mag) + (18% de SpA).,SpA/Mag,42,38,65,72,30
Jato de Água,35,40,agua,alvo,"Causa (65% de SpA) como dano especial. Se for crítico, aplica Encharcado no alvo.","Causa (75% de SpA) como dano especial. Se for crítico, aplica Encharcado no alvo.",SpA/CrC,58,0,0,42,31
Jato Duplo,50,60,agua,alvo,"Causa 2 acertos de (50% de SpA) como dano especial. Se algum acerto for crítico, aplica Encharcado no alvo.","Causa 2 acertos de (55% de SpA) como dano especial. Se algum acerto for crítico, aplica Encharcado no alvo.",SpA/CrC,72,0,0,48,32
Jato Triplo,65,75,agua,alvo,"Causa 3 acertos de (45% de SpA) como dano especial. Se algum acerto for crítico, aplica Encharcado no alvo.","Causa 3 acertos de (50% de SpA) como dano especial. Se algum acerto for crítico, aplica Encharcado no alvo.",SpA/CrC,82,0,0,52,33
Golpe de Concha,45,50,agua,alvo,Causa (45% de Atk) + (35% de Def) como dano normal.,Causa (50% de Atk) + (40% de Def) como dano normal.,Atk/Def,64,12,0,18,34
Chuva Curativa,60,70,agua,ativa,"Cura todos os aliados em (45% de Mag). Se o clima for Chuva, cura (60% de Mag).","Cura todos os aliados em (50% de Mag). Se o clima for Chuva, cura (68% de Mag).",Mag,0,62,88,65,35
Lança de Água,65,75,agua,alvo,"Escolhe uma linha. Causa (75% de SpA) + (20% de Per) como dano especial. A cada Pokémon atingido, o dano do próximo alvo reduz 30%. Se o alvo estiver Encharcado, em vez de reduzir, o dano aumenta 10%.","Causa (82% de SpA) + (25% de Per) como dano especial, mantendo a regra de redução ou aumento por Encharcado.",SpA/Per,88,0,0,78,36
Torrente Vital,60,70,agua,alvo,Escolhe um aliado e um inimigo. Causa (80% de SpA) como dano especial no inimigo e cura o aliado em 40% do dano causado.,Causa (90% de SpA) como dano especial e cura o aliado em 45% do dano causado.,SpA,72,45,68,48,37
Esfera Hidrocaótica,70,80,agua,alvo,"Causa (90% de SpA) como dano especial no alvo principal e causa 25% do dano causado a inimigos adjacentes. Se o alvo principal estiver Encharcado, ignora a SpD dele e causa 35% do dano aos adjacentes.","Causa (100% de SpA) como dano especial no alvo principal. Se o alvo estiver Encharcado, o dano aos adjacentes sobe para 40%.",SpA,92,0,0,72,38
Cachoeira,45,50,agua,alvo,Causa (80% de Atk) como dano normal e tem 25% de chance de fazer o alvo recuar.,Causa (90% de Atk) como dano normal e tem 30% de chance de fazer o alvo recuar.,Atk,68,0,0,55,39
Águas Mágicas,45,50,agua,alvo,Causa (85% de Mag) como dano especial.,Causa (95% de Mag) como dano especial.,Mag,66,0,0,12,40
Fonte Termal,45,50,agua,alvo,Transforma todos os efeitos negativos do aliado em Encharcado e cura o alvo em (30% de Mag).,Transforma todos os efeitos negativos do aliado em Encharcado e cura o alvo em (38% de Mag).,Mag,0,58,82,78,41
Absorção Total,55,65,agua,ativa,"Todos os Pokémon da partida perdem Encharcado. Para cada Encharcado removido, o usuário cura (3% de Mag) e ganha (3% de Mag) em Amp.","Para cada Encharcado removido, o usuário cura (4% de Mag) e ganha (4% de Mag) em Amp.",Mag,42,48,20,86,42
